Link,price,TLA,discount,beds,location,baths,property_type,Title,address,latitude,longitude,name,desc,precision,yrbuilt,lotsize,stories,garagesqft,rooms,avalue,sale_date
https://www.idealista.com/inmueble/87198915/,795000,250,830000,5,"Cuatro Caminos, Madrid",3,Tetuan,Piso ," Basílica, 20, Cuatro Caminos, Madrid , Spain",40.44692,-3.70392,"Basílica, 20, Cuatro Caminos, Madrid , Spain","Glorieta de Cuatro Caminos, Madrid, Comunidad de Madrid, ES",street,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/87570663/,214900,47,225000,1,"Valdeacederas, Madrid",1,Tetuan,Ático ," calle Arroyo, 24, Valdeacederas, Madrid , Spain",40.46966,-3.70204,"calle Arroyo, 24, Valdeacederas, Madrid , Spain","Calle Arroyo 24, Madrid, Comunidad de Madrid, ES",address,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/87640944/,795000,205,,4,"Cuatro Caminos, Madrid",2,Tetuan,Piso ," avenida del Presidente Carmona, 10, Cuatro Caminos, Madrid , Spain",40.45443,-3.69668,"avenida del Presidente Carmona, 10, Cuatro Caminos, Madrid , Spain","Avenida del Presidente Carmona 10, Madrid, Comunidad de Madrid, ES",address,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/86534448/,240000,72,,2,"Berruguete, Madrid",2,Tetuan,Ático ," calle Nenúfar, 32, Berruguete, Madrid , Spain",40.3582,-3.54982,"calle Nenúfar, 32, Berruguete, Madrid , Spain","Calle Nenúfar, Rivas-Vaciamadrid, Comunidad de Madrid, ES",street,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/88003187/,349000,92,,3,"Cuzco-Castillejos, Madrid",1,Tetuan,Piso ," calle de Lérida, 92, Cuzco-Castillejos, Madrid , Spain",40.56321,-3.8862,"calle de Lérida, 92, Cuzco-Castillejos, Madrid , Spain","Calle de Lérida, Las Rozas de Madrid, Comunidad de Madrid, ES",street,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/86225658/,345000,92,,3,"Bellas Vistas, Madrid",1,Tetuan,Piso ," calle la Rábida, 23, Bellas Vistas, Madrid , Spain",40.45413,-3.71141,"calle la Rábida, 23, Bellas Vistas, Madrid , Spain","Calle de La Rábida 23, Madrid, Comunidad de Madrid, ES",address,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/87460553/,187000,49,199000,1,"Bellas Vistas, Madrid",1,Tetuan,Piso ," calle Bravo Murillo, 165, Bellas Vistas, Madrid , Spain",40.85286,-3.48484,"calle Bravo Murillo, 165, Bellas Vistas, Madrid , Spain","Calle Bravo Murillo, Patones, Comunidad de Madrid, ES",street,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/29332268/,330000,70,,2,"Cuzco-Castillejos, Madrid",1,Tetuan,Piso ," calle Sor Ángela de la Cruz, 26, Cuzco-Castillejos, Madrid , Spain",40.46238,-3.70134,"calle Sor Ángela de la Cruz, 26, Cuzco-Castillejos, Madrid , Spain","Calle de Sor Ángela de la Cruz 26, Madrid, Comunidad de Madrid, ES",address,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/87655914/,589200,149,,4,"Cuatro Caminos, Madrid",2,Tetuan,Piso ," calle Don Quijote, 1, Cuatro Caminos, Madrid , Spain",40.44694,-3.69939,"calle Don Quijote, 1, Cuatro Caminos, Madrid , Spain","Calle de Don Quijote 1, Madrid, Comunidad de Madrid, ES",address,100,12,2,234,10,50,960423
https://www.idealista.com/inmueble/87766640/,159000,60,,2,"Berruguete, Madrid",1,Tetuan,Piso ," calle de Isla de la Gomera, 11, Berruguete, Madrid , Spain",40.46173,-3.70724,"calle de Isla de la Gomera, 11, Berruguete, Madrid , Spain","Calle de la Isla de Gomera 11, Madrid, Comunidad de Madrid, ES",address,100,12,2,234,10,50,960423
